"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality"
"20","2-5 MGD",13691,"CANBY, CITY OF","CANBY STP","1480 E TERRITORIAL RD","CANBY","97013","CLACKAMAS","NWR",45.2886,-122.6806,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Canby","Dave","Conner","PO Box 930","Canby","OR","97013-0930","503-266-0648","yes"
"21","2-5 MGD",84069,"City of St. Helens","City of St. Helens","451 PLYMOUTH","ST HELENS","97051","COLUMBIA","NWR",45.85,-122.8,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City Of St Helens","Aaron","Kunders","265 Strand St","Saint Helens","OR","97051-2039","503-397-2344","yes"
"22","2-5 MGD",19802,"COOS BAY, CITY OF","COOS BAY STP NO. 1","680 Ivy Avenue","COOS BAY","97420","COOS","WR",43.3784,-124.2169,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Coos Bay","Patrick","Kavan","680 Ivy St","Coos Bay","OR","97420-4921","(541) 267-3966","yes"
"23","2-5 MGD",19821,"COOS BAY, CITY OF","COOS BAY STP NO. 2 - EMPIRE","100 FULTON AVENUE","COOS BAY","97420","COOS","WR",43.386,-124.2831,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Coos Bay/Jacobs","Pat","Kavan","680 Ivy St","Coos Bay","OR","97420-4921","(541) 267-3966","yes"
"24","2-5 MGD",22546,"DALLAS, CITY OF","DALLAS STP","1070 BOWERSVILLE ROAD","DALLAS","97338","POLK","WR",44.9204,-123.2548,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Dallas","Lorie","Reed","187 SE Court St","Dallas","OR","97338-3117","503-623-8174","yes"
"25","2-5 MGD",34630,"GRANTS PASS, CITY OF","GRANTS PASS STP","1200 SW GREENWOOD AVE","GRANTS PASS","97526","JOSEPHINE","WR",42.4284,-123.3436,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Grants Pass","Gary G","Brelinski, JR","1200 SW Greenwood Ave","Grants Pass","OR","97526-2718","(541) 450-6122","yes"
"26","2-5 MGD",38212,"HERMISTON, CITY OF","HERMISTON STP","2205 N 1ST PL","HERMISTON","97838-6662","UMATILLA","ER",45.8619,-119.3117,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City Of Hermiston","William","Schmittle","2205 N 1st Pl","Hermiston","OR","97838-6662","(541) 567-5272","yes"
"27","2-5 MGD",39694,"HOOD RIVER, CITY OF","HOOD RIVER STP","818 RIVERSIDE DR","HOOD RIVER","97031-1179","HOOD RIVER","ER",45.7135,-121.519,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Hood River","Louie","Hooks","818 Riverside Dr","Hood River","OR","97031-1179","541-386-2432","yes"
"28","2-5 MGD",49764,"LEBANON, CITY OF","LEBANON WWTP","33110 TENNESSEE RD","LEBANON","97355","LINN","WR",44.5488,-122.8956,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","Jacobs Engineering","Jeff","Houchin","33110 Tennessee Rd","Lebanon","OR","97355-9628","(541) 451-1117","yes"
"29","2-5 MGD",50677,"LINCOLN CITY, CITY OF","LINCOLN CITY STP","5000 SE PORT","LINCOLN CITY","97367","LINCOLN","WR",44.9276,-124.0221,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Lincoln City","Lila","Bradley","PO Box 50","Lincoln City","OR","97367-0050","541-996-1235","yes"
"30","2-5 MGD",102894,"NEWBERG, CITY OF","NEWBERG - WYNOOSKI ROAD STP","2301 WYNOOSKI STREET","NEWBERG","97132","YAMHILL","WR",45.2864,-122.9528,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Newberg","Craig","Pack","2301 NE Wynooski Rd","Newberg","OR","97132-7269","(503) 537-1252 ext 0221","yes"
"31","2-5 MGD",111142,"NEWPORT, CITY OF","NEWPORT STP","5525 SE 50TH PLACE","NEWPORT","97366","LINCOLN","WR",44.6383,-124.0711,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Newport","Andrew","Grant","169 SW Coast Hwy","Newport","OR","97365-3806","(541) 574-3371","yes"
"32","2-5 MGD",61419,"NORTH BEND, CITY OF","NORTH BEND STP","1255 AIRPORT LANE","NORTH BEND","97459","COOS","WR",43.4156,-124.2531,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of North Bend, Wastewater Division","Gregory J","Mooney","PO Box B","North Bend","OR","97459-0014","(541) 756-6078","yes"
"33","2-5 MGD",62795,"OAK LODGE WATER SERVICES DISTRICT","OAK LODGE WATER SERVICES WATER RECLAMATION FACILITY","13750 SE RENTON AVE.","MILWAUKIE","97267","CLACKAMAS","NWR",45.4241,-122.6518,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","Oak Lodge Water Services District","Rich","Ludlow","13750 SE Renton Ave","Oak Grove","OR","97222-8098","(503-449-7650","yes"
"34","2-5 MGD",79929,"SEASIDE, CITY OF","SEASIDE STP","N 19TH & RIVERSIDE","SEASIDE","97138","CLATSOP","NWR",46.0054,-123.9241,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Seaside","Tony","Biamont","989 Broadway St","Seaside","OR","97138-7826","503-738-2636","yes"
"35","2-5 MGD",81395,"SILVERTON, CITY OF","SILVERTON STP","400 SCHEMMEL LANE","SILVERTON","97381","MARION","WR",45.0095,-122.8006,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Silverton","Steven E","Starner","400 Schemmel Ln","Silverton","OR","97381-1075","(503) 873-5439","yes"
"36","2-5 MGD",87830,"THE DALLES, CITY OF","THE DALLES STP","105 LAUGHLIN STREET","THE DALLES","97058","WASCO","ER",45.6008,-121.1788,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of The Dalles","Rick","Wolf","PO Box 1022","The Dalles","OR","97058-9022","541-298-1779","yes"
"37","2-5 MGD",97952,"WILSONVILLE, CITY OF","WILSONVILLE STP","9275 SW TAUCHMAN ROAD","WILSONVILLE","97070","CLACKAMAS","NWR",45.2949,-122.7724,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Wilsonville","Cindy","Kehoe","PO Box 2988","Wilsonville","OR","97070-2988","971-832-4001","yes"
"38","2-5 MGD",98815,"WOODBURN, CITY OF","WOODBURN WWTP","2815 MOLALLA RD","WOODBURN","97071-3527","MARION","WR",45.1542,-122.8017,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Woodburn","Curtis","Stultz","2815 Molalla Rd","Woodburn","OR","97071-3527","(503) 982-5281","yes"
"39","2-5 MGD with lagoons",3924,"ASTORIA, CITY OF","ASTORIA STP","550 30TH ST","ASTORIA","97103-2802","CLATSOP","NWR",46.1906,-123.8111,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1b","Sewage - 2 MGD or more but less than 5 MGD with discharging lagoons","MAJOR","DOM","Facility Contact","City of Astoria","Dan","Evans","550 30th St","Astoria","OR","97103-2802","503-325-5244","yes"
"40","2-5 MGD with lagoons",5324,"BAKER CITY, CITY OF","BAKER CITY WWTP","42661 IMNAHA ROAD","BAKER CITY","97814","BAKER","ER",44.8144,-117.843,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1b","Sewage - 2 MGD or more but less than 5 MGD with discharging lagoons","MAJOR","DOM","Facility Contact","City of Baker City","Rick","Owens","PO Box 650","Baker City","OR","97814-0650","541-524-2019","yes"
"41","2-5 MGD with lagoons",48100,"LA GRANDE, CITY OF","LA GRANDE STP","63836 HIGHWAY 203","LA GRANDE","97850","UNION","ER",45.2812,-118.0154,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1b","Sewage - 2 MGD or more but less than 5 MGD with discharging lagoons","MAJOR","DOM","Facility Contact","City of La Grande","Lyle","Bridges","800 X Ave","La Grande","OR","97850-2366","(541) 962-1325","yes"
"42","2-5 MGD with lagoons",63631,"ONTARIO, CITY OF","ONTARIO STP","2405 MALHEUR DRIVE","ONTARIO","97914","MALHEUR","ER",44.0392,-117.0027,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1b","Sewage - 2 MGD or more but less than 5 MGD with discharging lagoons","MAJOR","DOM","Facility Contact","City of Ontario","Kim","Lord","2405 Malheur Dr","Ontario","OR","97914-1378","541-889-9102","yes"
"43","2-5 MGD with lagoons",83316,"SOUTH SUBURBAN SANITARY DISTRICT","SOUTH SUBURBAN STP","2980 MAYWOOD DR","KLAMATH FALLS","97603","KLAMATH","ER",42.2,-121.7583,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1b","Sewage - 2 MGD or more but less than 5 MGD with discharging lagoons","MAJOR","DOM","Facility Contact","South Suburban Sanitary District","Sally","Bratton","2201 Laverne Ave","Klamath Falls","OR","97603-4570","541-882-5744","yes"
"44","1-2 MGD",11297,"BROOKINGS, CITY OF","BROOKINGS WWTP","901 WHARF ST","BROOKINGS","97415","CURRY","WR",42.0472,-124.2878,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MAJOR","DOM","Facility Contact","City of Brookings","Mike","Matheson","898 Elk Dr","Brookings","OR","97415-9648","541-212-9645","yes"
"45","1-2 MGD",20306,"COTTAGE GROVE, CITY OF","COTTAGE GROVE STP","1800 NORTH DOUGLAS","COTTAGE GROVE","97424","LANE","WR",43.8077,-123.0481,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MAJOR","DOM","Facility Contact","City Of Cottage Grove","Erich","Schroeder","400 E Main St","Cottage Grove","OR","97424-2034","(541) 942-3152","yes"
"46","1-2 MGD",30058,"FLORENCE, CITY OF","FLORENCE STP","650 Rhododendron Dr","Florence","97439","LANE","WR",43.9709,-124.1152,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MINOR","DOM","Facility Contact","City Of Florence","Mike","Miller","250 Highway 101","Florence","OR","97439-7628","541-997-4106","yes"
"47","1-2 MGD",59643,"MYRTLE CREEK, CITY OF","MYRTLE CREEK STP","SW HURST ST/NEAR MYRTLE CR/S UMPQUA RIV","MYRTLE CREEK","97457","DOUGLAS","WR",43.0216,-123.296,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MINOR","DOM","Facility Contact","City of Myrtle Creek","Steve E","Ledbetter","PO Box 940","Myrtle Creek","OR","97457-0123","(541) 863-5300","yes"
"48","1-2 MGD",84781,"STAYTON, CITY OF","STAYTON STP","1/2 MI S OF INT OF IDA & WASHINGTON ST","STAYTON","97383","MARION","WR",44.7914,-122.8042,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MAJOR","DOM","Facility Contact","City Of Stayton","Brenda","Kuiken","362 N 3rd Ave","Stayton","OR","97383-1726","(503) 769-2810","yes"
"49","1-2 MGD",86662,"SUTHERLIN, CITY OF","SUTHERLIN STP","STEARNS ROAD","SUTHERLIN","97479","DOUGLAS","WR",43.397,-123.3599,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MINOR","DOM","Facility Contact","City Of Sutherlin","Brian","Elliott","126 E Central Ave","Sutherlin","OR","97479-9556","(541) 459-5768","yes"
"50","1-2 MGD",86840,"SWEET HOME, CITY OF","SWEET HOME STP","OFF PLEASANT VALLEY RD ADJ TO S SANTIAM","SWEET HOME","97386","LINN","WR",44.4,-122.7364,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MAJOR","DOM","Facility Contact","City of Sweet Home","Scott","LaRoque","PO Box 750","Sweet Home","OR","97386-0750","(541) 367-4846","yes"
"51","1-2 MGD",88665,"TILLAMOOK, CITY OF","TILLAMOOK STP",NA,"TILLAMOOK","97141","TILLAMOOK","NWR",45.4547,-123.8575,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MAJOR","DOM","Facility Contact","City of Tillamook","Kenneth","Oleman","710 5th St","Tillamook","OR","97141-3442","503-842-2343","yes"
"52","1-2 MGD",89941,"TROUTDALE, CITY OF","CITY OF TROUTDALE WATER POLLUTION CONTROL FACILITY","1820 NW GRAHAM ROAD","TROUTDALE","97060","MULTNOMAH","NWR",45.5535,-122.3866,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MAJOR","DOM","Facility Contact","City of Troutdale","Michael","Sorensen","219 E Hist Col Rvr Hwy","Troutdale","OR","97060-2078","503-492-9999","yes"
"53","1-2 MGD",98400,"WINSTON GREEN REGIONAL TREATMENT FACILITY","WINSTON-GREEN WWTF","658 HARMONY DR","ROSEBURG","97470-4736","DOUGLAS","WR",43.1367,-123.4003,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2a","Sewage - 1 MGD or more but less than 2 MGD","MINOR","DOM","Facility Contact","Winston Green Regional Treatment Fac.","Christopher","Sherlock","658 Harmony Dr","Roseburg","OR","97471-4736","(541) 679-5152","yes"
"54","1-2 MGD with lagoons",48576,"LAKEVIEW, TOWN OF","LAKEVIEW STP","1 MILE SOUTHWEST OF LAKEVIEW","LAKEVIEW","97630","LAKE","ER",42.17,-120.37,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2b","Sewage - 1 MGD or more but less than 2 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Town of Lakeview","Jeff","Marshall","525 N 1st St","Lakeview","OR","97630-1503","541-947-2029","yes"
"55","1-2 MGD with lagoons",72252,"PRINEVILLE, CITY OF","PRINEVILLE STP","2101 NW O'Neil Hwy","PRINEVILLE","97754","CROOK","ER",44.3026,-120.842,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C2b","Sewage - 1 MGD or more but less than 2 MGD with discharging lagoons","MAJOR","DOM","Facility Contact","City of Prineville","Darin","Holliday","2101 NE 3rd St","Prineville","OR","97754-9106","541-410-0436","yes"
"56","<1 MGD with lagoons",100101,"ALPINE COUNTY SERVICE DISTRICT","ALPINE COMMUNITY","25327 ALPINE RD","MONROE","97456","BENTON","WR",44.3292,-123.3541,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Alpine County Service District","Jon","Thompkins","360 SW Avery Ave","Corvallis","OR","97333-1139","(541) 766-6821","yes"
"57","<1 MGD with lagoons",2772,"AMITY, CITY OF","AMITY STP","401 EAST 3RD","AMITY","97101","YAMHILL","WR",45.1223,-123.2028,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Amity","Matt","Johnson","PO Box 159","Amity","OR","97101-0159","(503) 835-4181","yes"
"58","<1 MGD with lagoons",4475,"AUMSVILLE, CITY OF","AUMSVILLE STP","BEAVER CREEK AT R.M. 2.5","AUMSVILLE","97325","MARION","WR",44.8542,-122.8748,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Aumsville","Steven C","Oslie","595 Main St","Aumsville","OR","97325-9005","(503) 749-2030","yes"
"59","<1 MGD with lagoons",110020,"AURORA, CITY OF","AURORA STP","HWY 99 E","AURORA","97002","MARION","WR",45.22,-122.8,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Aurora","Mark","Gunter","21420 Main St NE","Aurora","OR","97002-9229","5412318674","yes"
"60","<1 MGD with lagoons",6667,"BAY CITY, CITY OF","BAY CITY STP","NORTH END OF ELLIOTT ST","BAY CITY","97141","TILLAMOOK","NWR",45.5,-123.87,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Bay City","Chance","Steffey","PO Box 3309","Bay City","OR","97107-3309","(503) 377-4121","yes"
"61","<1 MGD with lagoons",11770,"BROWNSVILLE, CITY OF","BROWNSVILLE STP","1.4 MI NW OF CITY LIMITS ON 7 MILE LANE","BROWNSVILLE",NA,"LINN","WR",44.409,-122.9988,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Brownsville","Karl","Frink","PO Box 188","Brownsville","OR","97327-0188","(541) 466-5666","yes"
"62","<1 MGD with lagoons",14195,"CARLTON, CITY OF","CARLTON STP","1001 West Grant St.","CARLTON","97111","YAMHILL","WR",45.2935,-123.1864,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Carlton","Bryan","Burnham","191 E Main St","Carlton","OR","97111-9107","503-434-2175","yes"
"63","<1 MGD with lagoons",20927,"CRESWELL, CITY OF","CRESWELL STP","WEST OF MEADOW LANE","CRESWELL","97426","LANE","WR",43.9228,-123.0371,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Creswell","Michelle","Amberg","PO Box 276","Creswell","OR","97426-0276","(541) 895-2308","yes"
