"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region.x","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality","5000_gal_bill","total_sewer_lines_mi","year_of_construction","year_of_renovation","total_ww_treated","level_of_treatment","Population","QCODE","Region.y","level_of_treatment_other","pop_2018","pop_2010","pop_2000","pop_1990","pop_1980","acres","HUC8","septic/rv","done","treatmentClass","collectionClass","basin","subbasin","stream","permYr","EPAref","type1","type2","recycledReuse","emergencyOverflow","recycledBiosolids","yearRoundDischarge","BOD5 monthly average lbs/day","BOD5 max lbs/day","TSS monthly average lbs/day","TSS max lbs/day","dryDesignFlowMGD","massLoadFlowMGD","note1","note2","upgrade1","upgrade1_cost","upgrade1_year","upgrade2","upgrade2_cost","upgrade2_year","upgrade3","upgrade3_cost","upgrade3_year","cap_cost","om_cost"
"11","<1 MGD with lagoons",25491,"DUFUR, CITY OF","DUFUR STP","FIFTEEN MILE CR, SOUTH OF CITY","DUFUR","97021","WASCO","ER",45.4291,-121.1468,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Dufur","Brandon","Beachcamp","PO Box 145","Dufur","OR","97021-0145","541-467-2401","yes","","","","","","",NA,NA,NA,NA,"615","604","588","527","560",373.686697557,NA,"no","y",1,"1","Hood","Miles Creeks","Fifteen Mile Creek",2002,"OR0029050","lagoons","na",1,1,0,"no",23,45,"43","85",0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","<1 MGD with lagoons",25567,"DUNDEE, CITY OF","DUNDEE STP","520 SW 5TH STREET","DUNDEE","97115","YAMHILL","WR",45.281,-123.0133,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Dundee","Todd","Miller","PO Box 220","Dundee","OR","97115-0220","(541) 538-6700 x2","yes","77.91_81.34","13.9_15","1969_2012","2012_2012","175","Primary, Secondary, Membrane Bio-Reactor_____Secondary",3230,4,3,NA,"3,230","3,162","2,598","1,663","1,223",883.856081194,NA,"no","y",1,"2","Willamette","Yamhill/Newberg Pool","Willamette River",1999,"OR0023388","lagoons","na",1,0,0,"no",130,260,"220","440",0.273,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","<1 MGD with lagoons",26200,"ECHO, CITY OF","ECHO STP","33245 BOWMAN RD.","ECHO","97826","UMATILLA","ER",45.74,-119.19,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Echo","Daren","Tuil","PO Box 9","Echo","OR","97826-0009","(541) 376-8411","yes","47","7","1975","1985","18","Primary",NA,NA,NA,NA,"710","699","650","500","624",368.185437862,NA,"no","y",1,"1","Umatilla","Umatilla","Umatilla River",2006,"OR0031470","lagoons","na",1,0,0,"no",30,60,"na","80",0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","<1 MGD with lagoons",26885,"ELGIN, CITY OF","ELGIN STP","ONE MILE NORTHEAST OF ELGIN","ELGIN","97827","UNION","ER",45.59,-117.91,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Elgin","R.L.","Christian","PO Box 128","Elgin","OR","97827-0128","541-805-9115","yes","","","","","","",NA,NA,NA,NA,"1,730","1,711","1,654","1,586","1,701",621.247707714,NA,"no","y",1,"2","Grande Ronde","Upper Grande Ronde","Grande Ronde River",2004,"OR0022438","lagoons","na",1,1,0,"no",135,270,"255","510",0.36,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","<1 MGD with lagoons",33060,"GERVAIS, CITY OF","GERVAIS STP","13307 Portland Rd. NE","GERVAIS","97026","MARION","WR",45.1129,-122.8899,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Gervais","Susie E","Marston","PO Box 329","Gervais","OR","97026-0329","(503) 792-4901","yes","","","","","","",NA,NA,NA,NA,"2,585","2,464","2,009","992","799",250.086722237,NA,"no","y",2,"2","Willamette","Molalla/Pudding","Pudding River",2005,"OR0027391","lagoons","aeration",1,0,0,"no",110,210,"160","320",0.22,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","<1 MGD with lagoons",100050,"GRAND RONDE SANITARY DISTRICT","GRAND RONDE STP","8630 GRAND RONDE ROAD","GRAND RONDE","97347","POLK","WR",45.0597,-123.6098,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Grand Ronde Sanitary District","Roy","Bradley","PO Box 116","Grand Ronde","OR","97347-0116","(503) 879-5231","yes","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","y",1,"1","Willamette","Yamhill","South Yamhill River",2003,"OR0031453","lagoons","na",1,0,0,"no",95,190,"160","320",0.046,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","<1 MGD with lagoons",36320,"HALSEY, CITY OF","HALSEY STP","27375 Powerline Road","HALSEY","97348","LINN","WR",44.3883,-123.1167,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Halsey","Andy","Ridinger","PO Box 10","Halsey","OR","97348-0010","(541) 501-9132","yes","","","","","","",935,2,3,NA,"935","904","724","667","693",361.449066853,NA,"no","y",1,"2","Willamette","Upper Willamette","Muddy Creek",2002,"OR0022390","lagoons","na",1,0,0,"no",99,200,"160","320",0.197,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","<1 MGD with lagoons",105415,"HARRISBURG, CITY OF","HARRISBURG LAGOON TREATMENT PLANT","23914 PEORIA ROAD","HARRISBURG","97446","LINN","WR",44.2902,-123.1828,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Harrisburg","Chuck","Scholz","PO Box 378","Harrisburg","OR","97446-0378","(541) 995-6655","yes","48.36","11","","","UNKNOWN","Primary, Secondary",NA,NA,NA,NA,"3,660","3,567","2,795","1,939","1,881",922.401471563,NA,"no","y",1,"2","Willamette","Willamette River","Willamette River",2003,"OR0033260","lagoons","rock filter",1,1,0,"no",120,240,"120","240",0.489,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","<1 MGD with lagoons",40981,"HUNTINGTON, CITY OF","HUNTINGTON STP","23 FT N OF LOTS 11 & 12 ON BLOCK 5","HUNTINGTON","97907","BAKER","ER",44.4101,-117.31,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Huntington","Rick","Addleman","PO Box 369","Huntington","OR","97907-0369","541-869-2202","yes","","","","","","",445,1,12,NA,"445","440","515","522","539",470.069771139,NA,"no","y",1,"1","Powder","Burnt","Burnt River",1999,"OR0020052","lagoons","na",0,0,0,"yes",24,48,"67","130",0.095,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","<1 MGD with lagoons",41513,"INDEPENDENCE, CITY OF","INDEPENDENCE STP","END OF WILLIAMS STREET","INDEPENDENCE","97351","POLK","WR",44.8583,-123.1958,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Independence","Chad","Tracey","PO Box 7","Independence","OR","97351-0007","(503) 838-4781","yes","","","","","","",NA,NA,NA,NA,"9,370","8,590","6,035","4,425","4,024",1902.25140616,NA,"no","y",1,"2","Willamette","Middle Willamette","Willamette River",2004,"OR0020443","lagoons","na",0,0,0,"no",500,1000,"830","1700",0.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","<1 MGD with lagoons",44329,"JOSEPH, CITY OF","JOSEPH STP","MAPLE STREET","JOSEPH","97846","WALLOWA","ER",45.34,-117.21,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Joseph","Levi","Tickner","PO Box 15","Joseph","OR","97846-0015","5413981804","yes","","","","","","",NA,NA,NA,NA,"1,120","1,081","1,054","1,073","999",574.191460048,NA,"no","y",2,"2","Grande Ronde","Wallowa","Prairie Creek",2006,"OR0020605","lagoons","aeration",1,0,1,"no",94,190,"94","190",0.44,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","<1 MGD with lagoons",44509,"JUNCTION CITY, CITY OF","JUNCTION CITY STP","HIGH PASS ROAD","JUNCTION CITY","97448","LANE","WR",44.219,-123.23,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Junction City","Jason","Knope","PO Box 250","Junction City","OR","97448-0250","(541) 998-3125","yes","","","","","","",NA,NA,NA,NA,"6,125","5,392","4,721","3,670","3,320",2128.14666783,NA,"no","y",2,"2","Willamette","Upper Willamette","Flat Creek",2007,"OR0026565","lagoons","aeration",1,0,0,"no",200,400,"330","670",0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","<1 MGD with lagoons",100077,"MARION COUNTY AND BROOKS COMMUNITY SEWER DISTRICT","BROOKS SEWAGE TREATMENT PLANT","4860 BROOKLAKE RD NE","BROOKS","97305","MARION","WR",45.044,-122.9647,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Marion County - Public Works","Daniel","Shafer","5155 Silverton Rd NE","Salem","OR","97305-3802","(503) 365-3128","yes","37.95_14.88","796_811.4","1964_1964","2009_2006","16042.67_13,113 mg","Secondary_____Primary,Secondary",165265,5,3,NA,"165,265","154,637","136,924","107,793","89,091",31428.0463452,NA,"?","y",1,"2","Willamette","Middle Willamette","Willamette River",2004,"OR0033049","lagoons","na",0,0,0,"no",130,260,"130","260",0.253,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","<1 MGD with lagoons",57613,"MOLALLA, CITY OF","MOLALLA STP","12424 TOLIVER RD","MOLALLA","97038","CLACKAMAS","NWR",45.1552,-122.6111,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Molalla","Andy","Peters","PO Box 248","Molalla","OR","97038-0248","503-759-0220","yes","59.75_67.26","","","","","",9625,4,3,NA,"9,625","8,108","5,647","3,651","2,992",1507.21142376,NA,"no","y",3,"2","Willamette","Molalla/Pudding","Molalla River",2004,"OR0022381","pre-aerated lagoons","effluent filtration",1,0,0,"no",160,320,"160","320",0.79,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","<1 MGD with lagoons",57871,"MONMOUTH, CITY OF","MONMOUTH STP","151 WEST MAIN STREET","MONMOUTH","97361","POLK","WR",44.8583,-123.2167,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Monmouth","Mark","Landau","151 Main St W","Monmouth","OR","97361-2136","(503) 838-2173","yes","","","","","","",NA,NA,NA,NA,"9,890","9,534","7,741","6,288","5,594",1431.41203373,NA,"no","y",1,"2","Willamette","Middle Willamette","Willamette River",2000,"OR0020613","lagoons","na",1,0,0,"no",480,960,"790","1600",0.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","<1 MGD with lagoons",57951,"MONROE, CITY OF","MONROE STP","AT MONROE CITY PARK ON HWY 99 W","MONROE","97456","BENTON","WR",44.315,-123.293,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Monroe","Rick","Hohnbaum","PO Box 486","Monroe","OR","97456-0486","541-954-6640","yes","","","","","","",NA,NA,NA,NA,"625","617","607","448","412",304.28305812,NA,"no","y",1,"1","Willamette","Upper Willamette","Long Tom River",2007,"OR0029203","lagoons","na",1,1,0,"no",45,90,"75","150",0.09,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","<1 MGD with lagoons",59065,"MT. VERNON, CITY OF","MT VERNON STP","MOORE STREET","MT VERNON","97865","GRANT","ER",44.4111,-119.1169,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Mt Vernon","William R","Cearns","PO Box 647","Mount Vernon","OR","97865-0647","(541) 932-4688","yes","","","","","","",NA,NA,NA,NA,"525","527","595","549","569",NA,NA,"no","y",1,"1","John Day","Upper John Day","John Day River",2011,"OR0030694","lagoons","na",0,1,0,"no",25,50,"71","140",0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","<1 MGD with lagoons",61787,"NEHALEM BAY WASTEWATER AGENCY","NEHALEM BAY STP","14000 TIDELAND ROAD","NEHALEM","97131","TILLAMOOK","NWR",45.715,-123.8869,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Nehalem Bay Wastewater Agency","Bruce","Halverson","PO Box 219","Nehalem","OR","97131-0219","(503) 368-5125","yes","","","","","","",280,1,1,NA,"280","271","203","232","258",189.197821392,NA,"?","y",2,"2","Northern Oregon Coastal","Nehalem","Nehalem River",2016,"OR0023370","lagoons","aeration",1,0,0,"no",350,700,"350","700",0.703,1.3,"mass load based on prior permit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","<1 MGD with lagoons",61600,"NORTH POWDER, CITY OF","NORTH POWDER STP","2ND STREET","NORTH POWDER","97867","UNION","ER",45.03,-117.93,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of North Powder","Bonita","Herbert","PO Box 309","North Powder","OR","97867-0309","(541) 898-2185","yes","29.75_36.25","","","","","",445,1,11,NA,"445","439","489","448","430",400.079701494,NA,"no","y",1,"1","Powder","Powder","Powder River",2001,"OR0022403","lagoons","na",1,0,1,"no",50,100,"95","190",0.137,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","<1 MGD with lagoons",103468,"PHILOMATH, CITY OF","PHILOMATH WWTP","4702 Bell Fountain Rd","Corvallis","97333","BENTON","WR",44.5159,-123.3379,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Philomath","Kevin","Fear","PO Box 400","Philomath","OR","97370-0400","(541) 929-2644","yes","58.88_61.75","21.9","1985","2012","300","_____Secondary",4715,4,4,NA,"4,715","4,584","3,838","2,983","2,673",1338.89467081,NA,"no","y",1,"2","Willamette","Upper Willamette","Mary's River",2007,"OR0032441","lagoons","na",0,0,0,"no",460,920,"760","1500",0.475,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","<1 MGD with lagoons",79633,"SCIO, CITY OF","SCIO STP","38841 SW 6th Ave","SCIO","97374","LINN","WR",44.7,-122.853,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Scio","KOSTANTY (KO)","KAUROWSKI","PO Box 37","Scio","OR","97374-0037","(503) 394-3342","yes","38.25","5.5","1950","1980","","Secondary",NA,NA,NA,NA,"920","838","695","623","579",263.361069048,NA,"no","y",1,"1","Willamette","South Santiam","Thomas Creek",2003,"OR0029301","lagoons","na",0,0,0,"no",33,66,"54","110",0.09,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","<1 MGD with lagoons",80920,"SHERIDAN, CITY OF","SHERIDAN STP","139 NW YAMHILL STREET","SHERIDAN","97378","YAMHILL","WR",45.1004,-123.3957,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Sheridan Waste Water Treatment Plant","Kie","Cottam","120 SW Mill St","Sheridan","OR","97378-1832","(503) 843-3775","yes","40.17","14.5","1956","2017","260 MG","Primary,Secondary",6190,4,3,NA,"6,190","6,127","5,561","3,979","2,249",1260.23484147,NA,"no","y",1,"2","Willamette","Yamhill","South Yamhill River",2010,"OR0020648","lagoons","na",1,0,0,"no",810,1600,"1300","2700",0.42,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","<1 MGD with lagoons",81276,"SILETZ, CITY OF","SILETZ STP","1264 JAMES FRANK RD.","SILETZ","97380","LINCOLN","WR",44.7313,-123.9062,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Siletz","Allen","Middaugh","PO Box 318","Siletz","OR","97380-0318","(541) 444-2521","yes","61.5_51","","","","","",1235,2,5,NA,"1,235","1,212","1,133","992","1,001",403.942660796,NA,"no","y",2,"2","Northern Oregon Coastal","Siletz/Yaquina","Siletz River",2018,"OR0020419","activated sludge","sequencing batch reactor",0,0,0,"yes",46,93,"62","120",0.157,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","<1 MGD with lagoons",87425,"TANGENT, CITY OF","TANGENT STP","HINCK RD BETWEEN HWY 34 & LAKE CR DR","TANGENT","97389","LINN","WR",44.5531,-123.1405,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Vanco, Inc.","Rick","Hochstatter","PO Box 403","Tangent","OR","97389-0403","(541) 928-1657","yes","38_40","","1987","","","_____Other (Please Specify)",1250,3,3,"Lagoon - STEP System","1,250","1,164","933","556","478",2409.57416255,NA,"no","y",1,"2","Willamette","Upper Willamette","Calapooia River",2012,"OR0031917","lagoons","na",1,0,0,"no",50,100,"83","170",0.11,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
