"","Year","Entity","Population.x","Total Cost","Construction Cost","Discharge","Treatment","Collection","Notes:","Latitude.x","Longitude.x","basic_treatment","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region.x","Latitude.y","Longitude.y","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","total_sewer_lines_mi","year_of_construction","year_of_renovation","total_ww_treated","level_of_treatment","Region.y","level_of_treatment_other","pop_2018","pop_2010","pop_2000","pop_1990","pop_1980","acres","HUC8","septic/rv","treatmentClass","collectionClass","basin","subbasin","stream","permYr","EPAref","type1","type2","recycledReuse","emergencyOverflow","recycledBiosolids","yearRoundDischarge","BOD5 monthly average lbs/day","BOD5 max lbs/day","TSS monthly average lbs/day","TSS max lbs/day","dryDesignFlowMGD","massLoadFlowMGD","note1","sq_mi","pop_density_2018"
"11","2013 - 2016","SHORELINE SANITARY DISTRICT",394,2261860,1688250,"Deep Well Injection","Aeration, Disinfection","Effluent Pumps","Cost overruns resulted in second and third funding (figures are total)",45.9932,-123.9226,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2011 - 2015","MYRTLE POINT, CITY OF",2514,14224953,10634119,"Stream","Activated Sludge, Disinfection with Ozone","Effluent Pumps, Conventional Gravity","Cost overruns resulted in second funding (figures are total)",43.0669,-124.1474,"Activated Sludge","MYRTLE POINT STP","220 RIVER RD","MYRTLE POINT","97458","COOS","WR",43.0669,-124.1474,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Myrtle Point","Darin","Nicholson","424 5th St","Myrtle Point","OR","97458-1114","(541) 572-2626","13","2016","2016",NA,"Primary, Secondary, Nitrogen Removal, Phosphorous Removal",6,NA,2535,2514,2451,2712,2859,1020.44381056,NA,"no",2,"2","Southern Oregon Coastal","Coquille","South Fork Coquille River",2010,"OR0020435","trickling filter","na",0,0,0,"yes",146,292,"175","350",0.37,0.7,NA,1.594443454,1589.89645800258
"13","2015","GOLD HILL, CITY OF",1220,2590392,1748710,"Stream",NA,"Conventional Gravity","Work on collection system only, no treatment work",42.4374,-123.0767,"Other","GOLD HILL STP","2177 Second Ave","GOLD HILL","97525","JACKSON","WR",42.4374,-123.0767,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Legal Contact","City Of Gold Hill","Christina","Stanley","PO Box 308","Gold Hill","OR","97525-0308","541-855-1525",NA,NA,NA,NA,NA,NA,NA,1220,1220,1073,964,904,462.813473691,NA,"no",2,"2","Rogue","Middle Rogue","Rogue River",2010,"OR0022594","activated sludge","na",0,0,0,"yes",88,180,"88","180",0.35,0.35,NA,0.723146052642188,1687.07275043878
"14","2015","PRINEVILLE, CITY OF",9253,8913500,7313500,"Stream, Surface Irrigation","Chlorination","Conventional Gravity, Effluent Pumps",NA,44.2998,-120.8345,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015","PACIFIC CITY JOINT WATER-SANITARY AUTHORITY",1035,10663800,6978900,"Stream","Activated Sludge","Effluent Pumps",NA,45.2103,-123.9653,"Activated Sludge","PACIFIC CITY JWSA","34005 CAPE KIWANDA DR","PACIFIC CITY","97135","TILLAMOOK","NWR",45.2103,-123.9653,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Pacific City Jt Water-Sanitary Authority","Kirk","Medina","PO Box 520","Pacific City","OR","97135-0520","(503) 965-6636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",3,"2","Northern Oregon Coastal","Wilson/Trask/Nestucca","Nestucca River",2006,"OR0030066","activated sludge","na",0,0,0,"yes",30,60,"30","60",0.36,0.36,NA,NA,NA
"16","2013","HOOD RIVER, CITY OF",5833,2410825,1500325,"Stream","Ultraviolet, Activated Sludge","Conventional Gravity, Effluent Pumps, Small Diameter Gravity",NA,45.7068,-121.5281,"Activated Sludge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2013","MONUMENT, CITY OF",151,381505,180939,"Spray Irrigation","Chlorination","Conventional Gravity",NA,44.8193,-119.4211,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2012","NETARTS-OCEANSIDE SANITARY DISTRICT",1056,21969320,16277232,"Ocean Outlet","Sedimentation, Ultraviolet","Effluent Pumps, Conventional Gravity",NA,45.4613,-123.9646,"Other","NETARTS-OCEANSIDE STP","1755 Cape Meares Loop","Tillamook","97141","TILLAMOOK","NWR",45.4613,-123.9646,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Netarts-Oceanside Sanitary District","Daniel","Mello","1755 Cape Meares Loop","Tillamook","OR","97141-8360","(503) 842-8231",NA,NA,NA,NA,NA,NA,NA,4920,4935,4352,4001,3991,1188.73660079,NA,"?",2,"2","Northern Oregon Coastal","Wilson/Trask/Nestucca","Pacific Ocean",2012,"OR0029882","activated sludge","na",0,1,0,"yes",100,200,"100","200",0.4,0.4,"original outfall point used for emergencies and repairs",1.85740093873438,2648.86266470419
"19","2012","COVE, CITY OF",594,1612300,1216300,"Spray Irrigation","Stabilization Ponds, Chlorination","Conventional Gravity",NA,45.2965,-117.808,"Lagoons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2004","TWIN ROCKS SANITARY DISTRICT",664,5874600,4266000,"-","-","-",NA,NA,NA,NA,"TWIN ROCKS WWTP","18005 Hwy 101","Rockaway Beach","97136","TILLAMOOK","NWR",45.5885,-123.9457,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Twin Rocks Sanitary District","Joe","Nemeyer","PO Box 69","Rockaway Bch","OR","97136-0069","503-355-2666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",2,"1","Northern Oregon Coastal","Wilson/Trask/Nestucca","Pacific Ocean",2018,"OR0023493","activated sludge","na",0,0,0,"yes",75,150,"75","150",0.19,0.3,NA,NA,NA
"21","2002 - 2005","OREGON WATER WONDERLAND UNIT II",559,8379024,6e+06,"Spray Irrigation","Chlorination, Aerated Lagoons","Vacuum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2004-2005","VALE, CITY OF",1976,5398000,3469000,"Spray Irrigation","Anaerobic Lagoons, Chlorination","Conventional Gravity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2004-2007","LAKESIDE, CITY OF",1700,5450000,4078000,"Spray Irrigation, Stream","Activated Sludge","Conventional Gravity, Effluent Pumps",NA,NA,NA,NA,"LAKESIDE STP","105 PARK AVENUE","LAKESIDE","97449","COOS","WR",43.5717,-124.1809,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Lakeside","Gary","Higgins","PO Box L","Lakeside","OR","97449-0809","(541) 759-4414",NA,NA,NA,NA,NA,NA,NA,1735,1699,1421,1437,1453,1432.44330228,NA,"no",3,"2","Southern Oregon Coastal","Coos","Tenmile Creek",2005,"OR0029998","activated sludge","na",2,1,0,"no",42,84,"42","84",0.5,0.5,NA,2.2381926598125,775.179023304163
"24","2005","BROWNSVILLE, CITY OF",522,8742200,6439600,"Spray Irrigation, Stream, Controlled Discharged","Chlorination, Septic Tanks, Stabilization Ponds","Conventional Gravity, Effluent Pumps",NA,NA,NA,NA,"BROWNSVILLE STP","1.4 MI NW OF CITY LIMITS ON 7 MILE LANE","BROWNSVILLE",NA,"LINN","WR",44.409,-122.9988,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Brownsville","Karl","Frink","PO Box 188","Brownsville","OR","97327-0188","(541) 466-5666","10.36_10.75","1964","2008_2008",NA,"Primary, Lagoon System_____Primary",3,NA,1705,1668,1449,1281,1261,856.975191463,NA,"no",1,"2","Willamette","Upper Willamette","Calapooia River",2007,"OR0020079","lagoons","na",1,0,0,"no",74,150,"120","240",0.147,0.294,NA,1.33902373666094,1273.31573990741
"25","2005","MODOC POINT SANITARY DISTRICT",40,443300,196700,"Drainfields","Trickling Filters, Septic Tanks","Conventional Gravity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2006 - 2009","NETARTS OCEANSIDE SANITARY DISTRICT",1056,6793000,5622006,"Ocean Outlet","Sedimentation, Packed Bed Reactors, Stabilization Ponds, Ultraviolet","Effluent Pumps, Conventional Gravity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2007 - 2008","ARCH CAPE SANITARY DISTRICT",111,4125000,3437100,"Stream, Spray Irrigation","Microscreening, Ultraviolet","Conventional Gravity",NA,NA,NA,NA,"ARCH CAPE STP","32065 East Shingle Mill Lane","ARCH CAPE","97102","CLATSOP","NWR",45.8037,-123.9552,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Arch Cape Service District","Phil","Chick","32065 E Shingle Mill Ln","Arch Cape","OR","97102-0168","503-436-2790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",3,"2","Northern Oregon Coastal","Necanicum","Arch Cape Creek",2011,"OR0027499","activated sludge","membrane bioreactor",1,0,0,"no",25,50,"25","50",0.18,NA,"mass load based on prior permit",NA,NA
"28","2007 - 2008","WESTON, CITY OF",717,3114844,2365500,"Spray Irrigation","Anaerobic Lagoons","Effluent Pumps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2007","WEDDERBURN SANITARY DISTRICT",484,2434000,1729000,"Spray Irrigation, Natural Wetlands","Stabilization Ponds, Aerated Lagoons","Effluent Pumps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2007","NYSSA, CITY OF",3163,7999500,4862000,"Spray Irrigation","Anaerobic Lagoons, Activated Sludge, Chlorination","Conventional Gravity, Effluent Pumps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2007","COBURG, CITY OF",917,25534000,18921000,"Spray Irrigation, Stream","Ultraviolet","Effluent Pumps",NA,NA,NA,NA,"COBURG WASTEWATER TREATMENT PLANT","BETWEEN I5 & COBURG N. RD.","COBURG","97408","LANE","WR",44.1167,-123.05,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Coburg","Brian A","Harmon","PO Box 8316","Eugene","OR","97408-1310","(541) 228-8281",NA,NA,NA,NA,NA,NA,NA,169695,156185,137893,112733,105664,28204.0937519,NA,"no",3,"2","Willamette","Upper Willamette","Unnamed Tributary to Muddy Creek",2009,"OR0044628","membrane bioreactor","na",1,0,0,"yes",29,57,"29","57",0.44,0.86,NA,44.0688964873437,3850.67504580549
"32","2008","COQUILLE, CITY OF",4123,9440000,6713100,"Stream","Activated Sludge","Conventional Gravity, Effluent Pumps",NA,NA,NA,NA,"COQUILLE STP","300 Hwy 42 W","COQUILLE","97423-1289","COOS","WR",43.1739,-124.1933,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Coquille","Raymond","Doan","300 W Hwy 42 E","Coquille","OR","97423-1253","(541) 396-4286","19.25","2012","2012","239.64","Primary, Secondary, Nitrogen Removal, Phosphorous Removal",6,NA,3915,3866,4184,4121,4481,1744.29283016,NA,"no",2,"2","South Coast","Coquille","Coquille River",2004,"OR0026247","activated sludge","na",0,0,0,"yes",210,420,"250","500",0.66,1,NA,2.725457547125,1436.45605638943
"33","2009","ATHENA, CITY OF",1399,1573900,1023700,"Constructed Wetlands","Activated Sludge","Conventional Gravity",NA,NA,NA,NA,"ATHENA STP","SOUTHWEST EDGE OF ATHENA","ATHENA","97813","UMATILLA","ER",45.8086,-118.4894,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Athena","Kenneth","Faircloth","PO Box 686","Athena","OR","97813-0686","541-566-0228","6","1950","2012",NA,"Secondary, Trickling Filter",NA,NA,1170,1026,1221,997,965,344.363095335,NA,"no",2,"2","Umatilla","Umatilla","Wildhorse Creek",2006,"OR0022811","trickling filter","na",1,0,1,"no",78,156,"na","na",0.31,0.31,NA,0.538067336460938,2174.44903401034
"34","2010","STAYTON, CITY OF",6816,11317000,9274000,"Stream","Activated Sludge, Ultraviolet","Conventional Gravity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2010","GOLD BEACH, CITY OF",1897,11315600,9055375,"Drainfields","Activated Sludge, Ultraviolet, Anaerobic Lagoons","Effluent Pumps",NA,NA,NA,NA,"GOLD BEACH STP","500' W OF 94100 5TH PLACE","GOLD BEACH","97444","CURRY","WR",42.4097,-124.4233,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Gold Beach","Will","Newdall","29592 Ellensburg Ave","Gold Beach","OR","97444-6700","541-247-7459",NA,NA,NA,NA,NA,NA,NA,2265,2253,1897,1546,1515,1699.88073489,NA,"no",3,"2","Rogue","Lower Rogue","Riley Creek",2011,"OR0020303","activated sludge","na",0,0,0,"no",67,67,"67","67",0.4,0.4,"only used if facility exceeds 2MGD drainfield capacity",2.65606364826562,852.765708938871
